Deze gegevens mogen vrij worden gebruikt mits de volgende bronvermelding wordt gegeven:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

These data can be used freely provided that the following source is acknowledged:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

MAAND- en JAARGEMIDDELDE TEMPERATUREN (0.1 graden Celsius)
MONTHLY AND YEARLY MEAN TEMPERATURES (0.1 degrees Celsius)

STN = stationsnummer / WMO-number = 06... (235=De Kooy,240=Schiphol,260=De Bilt,270=Leeuwarden,280=Eelde,
      290=Twenthe,310=Vlissingen,344=Rotterdam,370=Eindhoven,380=Maastricht)


STN,YYYY,   JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC,  YEAR

270,1951,    28,    30,    30,    64,   111,   140,   158,   162,   149,    81,    81,    49,    90
270,1952,    24,    23,    38,    90,   122,   141,   163,   166,   114,    81,    31,    14,    84
270,1953,    18,    14,    39,    74,   117,   155,   165,   158,   138,   116,    78,    49,    93
270,1954,     3,   -18,    44,    58,   122,   146,   143,   153,   135,   116,    66,    52,    85
270,1955,    -1,    -4,    12,    71,    90,   130,   168,   179,   147,    96,    70,    43,    83
270,1956,    18,   -63,    40,    48,   111,   126,   160,   136,   143,    99,    53,    47,    77
270,1957,    34,    45,    72,    77,    99,   153,   167,   156,   126,   109,    60,    28,    94
270,1958,    19,    29,    13,    56,   114,   141,   163,   167,   155,   112,    55,    46,    89
270,1959,    13,     8,    62,    92,   119,   151,   176,   176,   149,   106,    51,    34,    95
270,1960,    26,    22,    45,    80,   119,   155,   152,   154,   136,   105,    73,    30,    91
270,1961,    14,    49,    66,    94,   105,   149,   152,   154,   161,   114,    49,     7,    93
270,1962,    32,    27,    15,    70,    93,   130,   140,   147,   128,   109,    41,    -7,    77
270,1963,   -61,   -47,    33,    81,   103,   150,   157,   151,   134,    93,    78,   -10,    72
270,1964,     6,    26,    16,    80,   134,   147,   157,   157,   138,    80,    59,    24,    85
270,1965,    22,    23,    35,    70,   109,   142,   145,   149,   131,    99,    22,    38,    82
270,1966,    -1,    20,    47,    68,   126,   162,   151,   152,   136,   107,    47,    39,    88
270,1967,    27,    44,    65,    67,   120,   138,   170,   162,   143,   114,    56,    39,    95
270,1968,    14,    15,    55,    84,   102,   151,   156,   167,   143,   114,    53,    -4,    88
270,1969,    39,    -3,     8,    68,   114,   145,   172,   175,   148,   120,    65,   -16,    86
270,1970,    -6,     3,    27,    54,   120,   164,   152,   162,   138,   107,    72,    28,    85
270,1971,    20,    40,    28,    70,   125,   133,   169,   168,   134,   106,    61,    57,    93
270,1972,    -5,    26,    57,    74,   114,   134,   169,   156,   121,    91,    63,    33,    86
270,1973,    32,    33,    53,    60,   114,   153,   174,   160,   139,    86,    57,    31,    91
270,1974,    47,    45,    47,    76,   109,   141,   148,   161,   128,    72,    64,    68,    92
270,1975,    61,    24,    41,    64,    99,   141,   169,   195,   147,    85,    52,    47,    94
270,1976,    33,    18,    21,    66,   122,   167,   180,   171,   134,   104,    65,    14,    91
270,1977,    20,    40,    63,    61,   108,   137,   158,   157,   131,   113,    70,    44,    92
270,1978,    31,     2,    57,    59,   107,   142,   145,   153,   137,   114,    75,     8,    86
270,1979,   -36,   -14,    37,    71,   110,   144,   150,   155,   137,   100,    56,    54,    80
270,1980,    -2,    38,    43,    76,   108,   144,   154,   166,   154,    98,    55,    43,    90
270,1981,    28,    15,    70,    74,   130,   138,   160,   165,   148,    89,    67,   -14,    89
270,1982,     4,    25,    48,    69,   114,   155,   175,   169,   149,   113,    75,    34,    94
270,1983,    60,     6,    53,    79,   106,   152,   180,   171,   142,   109,    68,    36,    97
270,1984,    35,    19,    37,    69,   101,   131,   151,   170,   134,   115,    72,    39,    89
270,1985,   -28,    -9,    34,    80,   123,   131,   164,   155,   138,   104,    25,    54,    81
